no,co,s,l,r,b,le,sa,t,ra,si
1.811,1,['l'],"[[[[45, 3], [105, 3]], 'E51-057']]",[],[],G,"11.630, 15.663, IDS.540",['SP'],5.4,24
1.845,1,"['b', 'l']","[[[[11, 3], [131, 3]], '48-311']]",[],"[[[[70, 4]], '48-316']]",G,,['SP'],0,0
1.881,1,['l'],"[[[[33, 3], [93, 3]], '5-134']]",[],[],G,HST.538,['SP'],0,0
1.89,1,['l'],"[[[[33, 3], [93, 3]], '48-308']]",[],[],G,,['SP'],6,12.5
1.899,1,[],[],[],[],G,,['SP'],0,0
1.968,1,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
1.982,1,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
1.984,1,[],[],[],[],G,,"['FA', 'SP']",0,0
1.997,1,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
1.998,1,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
1.999,1,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
1.C01,1,"['l', 'b']","[[[[126, 2]], '3-442']]",[],"[[[[128, 2]], '3-442']]",U,,['SP'],0,0
1.C51,1,"['l', 'b']","[[[[126, 2]], '5-234']]",[],"[[[[128, 2]], '5-234']]",G,,['SP'],0,0
1.EPE,1,[],[],[],[],U,,"['FA', 'SP']",0,0
1.THG,1,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",6.5,151.5
1.THU,1,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
1.UR,1,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
1.URG,1,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
10,10,"['b', 'l']","[[[[40, 2], [100, 2]], '66-156']]",[],"[[[[72, 6], [102, 6]], 'E18-676']]",U,,['SP'],7,3
10,10,['l'],"[[[[74, 4]], '66-168']]",[],[],U,,['SP'],6,16
10.01,10,['l'],"[[[[44, 4]], '66-148'], [[[82, 4]], '2-151'], [[[74, 4]], '66-148'], [[[14, 4]], '66-148']]",[],[],U,,"['FA', 'SP']",6.2,56.2
10.03,10,['l'],"[[[[36, 3], [96, 3]], '66-148']]",[],[],U,7.458,['SP'],6.9,15
10.09,10,['l'],"[[[[104, 4]], '66-168']]",[],[],U,,['SP'],0,0
10.1,10,"['l', 'r']","[[[[12, 2], [72, 2], [132, 2]], '66-110']]","[[[[36, 2]], '56-154']]",[],U,,"['FA', 'SP']",5.2,24.2
