no,co,s,l,r,b,le,sa,t,ra,si
15.873,15,"['l', 'r']","[[[[4, 3], [64, 3]], 'E51-345'], [[[10, 3], [70, 3]], 'E51-325']]","[[[[124, 3]], 'E51-395'], [[[130, 3]], 'E51-395']]",[],G,,"['FA', 'SP']",5.6,63
15.8731,15,"['r', 'l']","[[[[4, 3], [64, 3]], 'E51-345'], [[[10, 3], [70, 3]], 'E51-325']]","[[[[124, 3]], 'E51-395'], [[[130, 3]], 'E51-395']]",[],U,,"['FA', 'SP']",0,0
15.878,15,['l'],"[[[[13, 3], [73, 3]], 'E62-223']]",[],[],G,,['SP'],4.8,54
15.879,15,['l'],"[[[[122, 6]], 'E62-450']]",[],[],G,,"['FA', 'SP']",6.5,6.8
15.9,15,['l'],"[[[[10, 3], [70, 3], [130, 3]], 'E51-335'], [[[13, 3], [73, 3], [133, 3]], 'E51-335']]",[],[],G,,"['FA', 'SP']",6.1,142.4
15.9001,15,['l'],"[[[[10, 3], [70, 3], [130, 3]], 'E51-335'], [[[13, 3], [73, 3], [133, 3]], 'E51-335']]",[],[],U,,['SP'],6.3,22.5
15.903,15,['l'],"[[[[34, 3], [94, 3]], 'E51-372']]",[],[],G,,"['FA', 'SP']",5.4,37.6
15.911,15,['l'],"[[[[10, 3], [70, 3], [130, 3]], 'E51-335'], [[[13, 3], [73, 3], [133, 3]], 'E51-335']]",[],[],G,,"['FA', 'SP']",5.8,134.5
15.915,15,['l'],"[[[[46, 3], [106, 3]], 'E51-325'], [[[34, 3], [94, 3]], 'E62-233']]",[],[],G,,['SP'],4.8,83
15.941,15,['l'],"[[[[50, 6]], 'Virtual']]",[],[],G,11.43,['SP'],6.6,17.3
15.95,15,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
15.951,15,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
15.952,15,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
15.96,15,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
15.961,15,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
15.962,15,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
15.999,15,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
15.EPE,15,[],[],[],[],U,,"['FA', 'SP']",0,0
15.S02,15,['l'],"[[[[10, 3], [70, 3]], 'E62-221']]",[],[],G,,['SP'],4.9,17.8
15.S03,15,['l'],"[[[[46, 6]], 'E62-221']]",[],[],G,,"['FA', 'JA', 'SP']",6.9,35
15.S04,15,['l'],"[[[[1, 3], [61, 3]], 'E62-223'], [[[4, 3], [64, 3]], 'E62-223']]",[],[],G,,"['SU', 'SP']",4.7,78.3
15.S05,15,['l'],"[[[[40, 3], [100, 3]], 'E62-450']]",[],[],G,,"['SU', 'SP']",6,16.7
15.S07,15,[],[],[],[],G,,"['JA', 'SU', 'SP']",5.2,19
15.S08,15,['l'],"[[[[13, 3], [73, 3]], 'E62-233']]",[],[],G,,"['FA', 'JA', 'SU', 'SP']",5.7,45
15.S12,15,['l'],"[[[[4, 6]], 'E62-350']]",[],[],G,,"['FA', 'JA', 'SU', 'SP']",5,47.3
15.S14,15,['l'],"[[[[61, 6]], 'E62-233']]",[],[],G,,"['SU', 'SP']",5.4,40.7
15.S16,15,['l'],"[[[[106, 6]], 'E51-145']]",[],[],G,,"['FA', 'JA', 'SP']",6.2,15.3
15.S20,15,['l'],"[[[[76, 3]], 'E62-250']]",[],[],G,,"['FA', 'JA', 'SU', 'SP']",6.5,7
15.S21,15,['l'],"[[[[106, 6]], 'E62-223']]",[],[],G,,"['JA', 'SU', 'SP']",4.7,120
15.S51,15,['l'],"[[[[40, 3], [100, 3]], 'E62-276']]",[],[],G,,"['FA', 'JA', 'SU', 'SP']",6.5,66
15.S52,15,['l'],"[[[[76, 6]], 'E51-376']]",[],[],G,,"['JA', 'SP']",4.6,17
15.S54,15,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",5.4,44.5
15.S65,15,['l'],"[[[[49, 5]], 'E62-250']]",[],[],G,,"['JA', 'SU', 'SP']",6,15.5
15.S66,15,[],[],[],[],G,,['SP'],6.5,18
15.S67,15,"['r', 'l']","[[[[13, 3], [73, 3]], 'E62-223']]","[[[[124, 2]], 'E51-149']]",[],G,,"['SU', 'SP']",6,5
15.S70,15,['l'],"[[[[76, 6]], 'E62-276']]",[],[],G,,"['FA', 'JA', 'SP']",6.6,7
15.S72,15,['l'],"[[[[106, 6]], 'E62-276']]",[],[],G,,"['FA', 'SU', 'SP']",4,74
15.THG,15,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
15.UR,15,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
15.URG,15,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
16.0002,16,['l'],"[[[[14, 3], [74, 3]], '33-419']]",[],[],U,"18.0002, CSE.01","['FA', 'SP']",0,0
16.003,16,['l'],"[[[[2, 2], [62, 2], [34, 2], [122, 4]], '35-225']]",[],[],U,,['SP'],6.3,58
16.004,16,['l'],"[[[[4, 2], [34, 2], [64, 2], [92, 4]], '35-225']]",[],[],U,,['SP'],4.3,58.5
16.06,16,"['r', 'l']","[[[[6, 2], [66, 2], [126, 2]], '35-225']]","[[[[104, 2]], '33-418'], [[[100, 2]], '33-419']]",[],U,,['SP'],5.7,44
16.07,16,"['l', 'r']","[[[[36, 3], [96, 3]], '4-370']]","[[[[134, 2]], '33-419']]",[],U,,['SP'],3.5,46.3
16.09,16,"['r', 'l']","[[[[10, 3], [70, 3]], '37-212']]","[[[[46, 2]], '33-319'], [[[40, 2]], '33-319']]",[],U,,['SP'],5.3,35
16.122,16,['l'],"[[[[3, 3], [63, 3]], '33-422']]",[],[],G,,['SP'],6.2,3.5
16.2,16,"['l', 'r']","[[[[36, 3], [96, 3]], '5-234']]","[[[[124, 2]], '5-234']]",[],U,,['SP'],6,15
16.23,16,"['r', 'l']","[[[[10, 3], [70, 3]], '5-134']]","[[[[73, 2]], '5-134']]",[],G,2.081,['SP'],5.4,14
16.235,16,['l'],"[[[[2, 2], [62, 2], [122, 2]], '33-319']]",[],[],G,,['SP'],0,0
16.32,16,['l'],"[[[[10, 3], [70, 3]], '33-319']]",[],[],G,,['SP'],5,21
16.332,16,['l'],"[[[[6, 3], [66, 3]], '33-319']]",[],[],G,,['SP'],0,0
16.338,16,"['r', 'l']","[[[[6, 3], [66, 3]], '24-115']]","[[[[128, 2]], '36-372'], [[[126, 2]], '36-372']]",[],G,6.241,['SP'],6.2,11.5
16.35,16,['l'],"[[[[33, 3], [93, 3]], '33-422']]",[],[],U,,['SP'],4.8,16
16.355,16,['l'],"[[[[122, 6]], '33-418']]",[],[],G,IDS.341,['SP'],5.7,12
16.36,16,['l'],"[[[[3, 3], [63, 3]], '33-419']]",[],[],U,,['SP'],6.3,20
16.363,16,['l'],"[[[[3, 3], [63, 3]], '33-419']]",[],[],G,,['SP'],6.3,20
16.393,16,['l'],"[[[[14, 6]], '26-314']]",[],[],G,,['SP'],6.8,5.5
16.405,16,"['l', 'b']","[[[[10, 2], [70, 2], [130, 2]], '1-190']]",[],"[[[[14, 4], [74, 4]], '32-082']]",U,6.141,['SP'],6,87.5
16.412,16,['l'],"[[[[6, 3], [66, 3]], '9-354']]",[],[],G,6.834,['SP'],5.1,38
16.456,16,"['b', 'l']","[[[[33, 3], [93, 3]], '56-154']]",[],"[[[[124, 4]], '56-154'], [[[64, 4]], '56-154']]",G,"6.555, HST.582",['SP'],6.2,27.5
16.459,16,[],[],[],[],G,,['SP'],0,0
16.5,16,['l'],"[[[[39, 3], [99, 3]], '37-212']]",[],[],U,,['SP'],5.9,26.5
16.522,16,['l'],"[[[[3, 3], [63, 3]], '33-418']]",[],[],G,,['SP'],6.1,18
16.54,16,['l'],"[[[[31, 3], [91, 3]], '31-270']]",[],[],G,,['SP'],0,0
16.65,16,['b'],[],[],"[[[[130, 4]], '32-144'], [[[134, 4]], '32-144'], [[[122, 4]], '32-144']]",U,,"['FA', 'SP']",6.2,143
16.651,16,['l'],"[[[[40, 3]], '4-153'], [[[6, 3]], '4-153'], [[[36, 3]], '4-153'], [[[10, 3]], '4-153']]",[],[],U,,"['FA', 'SP']",5.8,112
16.6621,16,['l'],"[[[[22, 4]], '32-124']]",[],[],U,"2.7231, 6.9021","['FA', 'SP']",0,0
16.662A,16,['l'],"[[[[22, 4]], '32-141'], [[[26, 2]], '32-141']]",[],[],U,,"['FA', 'SP']",0,0
16.662B,16,['l'],"[[[[26, 2]], '32-141'], [[[22, 4]], '32-141']]",[],[],U,,"['FA', 'SP']",0,0
16.667,16,['b'],[],[],"[[[[130, 4]], '32-144'], [[[134, 4]], '32-144'], [[[122, 4]], '32-144']]",U,,"['FA', 'SP']",6.2,143
16.676,16,['l'],"[[[[14, 4]], '66-148'], [[[44, 4]], '66-148'], [[[74, 4]], '66-148'], [[[82, 4]], '2-151']]",[],[],U,,"['FA', 'SP']",6.4,61
16.681,16,[],[],[],[],U,,"['FA', 'SP']",0,0
16.691,16,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
16.763,16,['l'],"[[[[10, 3], [70, 3]], '33-418']]",[],[],G,1.233,['SP'],6.4,11
16.82,16,['l'],"[[[[42, 2], [102, 2]], '33-419']]",[],[],U,,['SP'],3.6,15
16.831,16,['b'],[],[],"[[[[42, 6], [102, 6]], '48-316']]",U,12.431,['SP'],4.9,21
16.84,16,['l'],"[[[[12, 2]], '33-419']]",[],[],U,,['SP'],0,0
16.855,16,['l'],"[[[[46, 6]], '1-390']]",[],[],G,IDS.336,['SP'],6.2,36
16.89,16,['l'],"[[[[5, 3], [65, 3]], '33-218']]",[],[],G,IDS.339,['SP'],5.2,15
16.891,16,['l'],"[[[[41, 4]], '33-418']]",[],[],G,,['SP'],0,0
16.9,16,['l'],"[[[[13, 3], [73, 3]], '33-418']]",[],[],U,,['SP'],5.8,8
16.971,16,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
16.985,16,['l'],"[[[[16, 4]], 'E62-223']]",[],[],G,"2.890, 10.792, 15.792","['FA', 'SP']",4.5,49.8
16.99,16,['l'],"[[[[13, 3], [73, 3]], '32-144']]",[],[],G,"6.928, 15.674","['FA', 'SP']",6.4,24
16.995,16,['l'],"[[[[124, 4]], '37-212']]",[],[],G,,"['FA', 'SP']",5.8,13.7
16.999,16,[],[],[],[],G,,"['FA', 'SP']",0,0
16.EPE,16,[],[],[],[],U,,"['FA', 'SP']",0,0
16.S198,16,['l'],"[[[[66, 3]], '33-422']]",[],[],G,,"['FA', 'SP']",0,0
16.S686,16,[],[],[],[],U,,"['FA', 'JA', 'SP']",6.7,9
16.S898,16,[],[],[],[],G,,"['FA', 'SP']",6,4
16.S899,16,['l'],"[[[[34, 3], [94, 3]], '33-218']]",[],[],G,,['SP'],0,0
16.THG,16,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",6,235
16.UR,16,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
17.006,17,['l'],"[[[[52, 6]], '32-124']]",[],[],G,24.637,['SP'],5.2,17.5
17.007,17,['l'],"[[[[52, 6]], '32-124']]",[],[],U,"24.237, WGS.301",['SP'],5.2,17.5
17.035,17,['l'],"[[[[34, 3], [94, 3]], 'E51-385']]",[],[],U,21H.181,['SP'],6.6,17
17.05,17,['l'],"[[[[44, 3], [104, 3]], '16-160']]",[],[],U,CC.117,['SP'],6.5,15
17.178,17,['l'],"[[[[96, 4]], 'E53-438']]",[],[],G,,['SP'],6.3,10.5
17.198,17,['l'],"[[[[71, 4]], 'E53-485']]",[],[],G,,['SP'],0,0
17.2,17,"['l', 'r']","[[[[44, 2], [104, 2]], '35-225']]","[[[[134, 2]], '8-205'], [[[126, 2]], '8-205']]",[],U,,"['FA', 'SP']",5.5,26.7
17.202,17,['l'],"[[[[92, 4]], 'E53-485']]",[],[],G,,['SP'],6,4
17.21,17,['l'],"[[[[6, 4]], 'E53-438']]",[],[],G,,['SP'],6.6,10
17.265,17,['l'],"[[[[36, 3], [96, 3]], '5-217']]",[],[],U,,['SP'],0,0
17.27,17,['l'],"[[[[36, 4]], 'E53-438']]",[],[],G,,['SP'],0,0
17.28,17,['l'],"[[[[12, 6]], '56-191']]",[],[],U,21H.213,['SP'],0,0
17.303,17,['l'],"[[[[13, 3], [73, 3]], '9-255']]",[],[],U,11.003,['SP'],6,17
17.307,17,[],[],[],[],U,,"['FA', 'SP']",5.6,15.7
17.309,17,"['r', 'l']","[[[[11, 3], [71, 3]], 'E25-111']]","[[[[76, 2]], '1-242'], [[[94, 2]], '4-159']]",[],U,"IDS.055, STS.082",['SP'],5.2,29.5
17.31,17,"['l', 'r']","[[[[11, 3], [71, 3]], 'E25-111']]","[[[[106, 2]], 'E51-361'], [[[76, 2]], 'E51-057']]",[],G,"IDS.412, STS.482",['SP'],4.9,36
17.317,17,['l'],"[[[[44, 3], [104, 3]], '4-265']]",[],[],U,,['SP'],6.9,55
17.393,17,['l'],"[[[[45, 3], [105, 3]], 'E51-057']]",[],[],U,"1.801, 11.021, IDS.060",['SP'],5.4,24
17.41,17,"['l', 'r']","[[[[36, 2], [96, 2]], '4-237']]","[[[[134, 2]], '1-379'], [[[104, 2]], '66-156'], [[[102, 2]], '66-156'], [[[132, 2]], '1-379']]",[],U,,['SP'],5.1,44
17.424,17,['l'],"[[[[6, 4]], 'E53-485']]",[],[],G,,['SP'],6.2,9
17.426,17,['l'],"[[[[40, 4]], 'E53-438']]",[],[],G,,['SP'],6.2,10
17.43,17,['l'],"[[[[32, 6]], 'E40-437']]",[],[],G,,['SP'],6,5
17.449,17,['l'],"[[[[44, 3], [104, 3]], '36-144']]",[],[],U,,['SP'],0,0
17.474,17,['l'],"[[[[10, 4]], 'E53-485']]",[],[],G,22.814,['SP'],0,0
17.482,17,['l'],"[[[[40, 4]], 'E51-085']]",[],[],G,,['SP'],5.8,18
17.483,17,['l'],"[[[[40, 4]], 'E51-085']]",[],[],U,,['SP'],5.8,18
17.484,17,['l'],"[[[[96, 4]], 'E51-390']]",[],[],G,,['SP'],0,0
17.523,17,['l'],"[[[[40, 3], [100, 3]], '1-242']]",[],[],U,,['SP'],0,0
17.53,17,['l'],"[[[[14, 3], [74, 3]], '1-390']]",[],[],U,,['SP'],5.9,18
17.569,17,['l'],"[[[[36, 4], [98, 2]], '56-167']]",[],[],U,,['SP'],6.8,11
17.591,17,['l'],"[[[[70, 4]], '5-231']]",[],[],U,,['SP'],6.5,8.5
17.802,17,"['l', 'r']","[[[[15, 3], [75, 3]], 'E51-361']]","[[[[124, 2]], 'E51-057']]",[],G,,['SP'],6,22.5
17.803,17,"['b', 'l']","[[[[3, 3], [63, 3]], 'E53-438']]",[],"[[[[1, 2]], 'E53-438']]",U,,['SP'],6.3,4.5
17.806,17,"['r', 'l']","[[[[44, 3], [104, 3]], '2-105']]","[[[[124, 2]], 'E53-485']]",[],G,,['SP'],5.5,8.5
17.878,17,['l'],"[[[[32, 4]], 'E53-438']]",[],[],G,,['SP'],5.8,10
17.902,17,[],[],[],[],U,,"['FA', 'SP']",0,0
17.905,17,[],[],[],[],U,,"['FA', 'SP']",6.2,14.5
17.906,17,[],[],[],[],U,,"['FA', 'SP']",0,0
17.91,17,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",5,18
17.954,17,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
17.955,17,[],[],[],[],G,,['SP'],0,0
17.96,17,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
17.962,17,['l'],"[[[[75, 4]], 'E53-438']]",[],[],G,,['SP'],6.4,12
17.S950,17,['l'],"[[[[14, 4]], 'E53-485']]",[],[],G,,"['FA', 'SP']",6.1,7.3
17.S951,17,['l'],"[[[[36, 4]], 'E51-085']]",[],[],G,,"['FA', 'SP']",6.4,7.3
17.S952,17,['l'],"[[[[64, 4]], 'E53-485']]",[],[],G,,['SP'],0,0
17.THG,17,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
17.THU,17,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
17.UR,17,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
17.URG,17,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
18.0002,18,['l'],"[[[[14, 3], [74, 3]], '33-419']]",[],[],U,"16.0002, CSE.01","['FA', 'SP']",0,0
18.01,18,"['r', 'l']","[[[[36, 2], [96, 2], [132, 2]], '2-135']]","[[[[12, 2], [72, 2]], '2-135']]",[],U,,"['FA', 'SP']",4,87.8
18.02,18,"['l', 'r']","[[[[36, 2], [96, 2], [132, 2]], '32-123']]","[[[[14, 2], [74, 2]], '2-136'], [[[8, 2], [68, 2]], '2-136'], [[[10, 2], [70, 2]], '2-142'], [[[6, 2], [66, 2]], '2-143'], [[[12, 2], [72, 2]], '2-136'], [[[2, 2], [62, 2]], '2-147'], [[[4, 2], [64, 2]], '2-142']]",[],U,,"['FA', 'SP']",5.8,336.2
18.02A,18,[],[],[],[],U,,"['FA', 'JA', 'SP']",5.8,129.2
18.03,18,"['r', 'l']","[[[[10, 2], [70, 2], [130, 2]], '26-100']]","[[[[38, 2], [98, 2]], '2-147'], [[[36, 2], [96, 2]], '2-146'], [[[40, 2], [100, 2]], '2-147'], [[[42, 2], [102, 2]], '36-144'], [[[34, 2], [94, 2]], '2-146'], [[[44, 2], [104, 2]], '2-132'], [[[32, 2], [92, 2]], '2-136']]",[],U,,"['FA', 'SP']",5.2,335.8
18.032,18,"['l', 'r']","[[[[10, 2], [70, 2], [130, 2]], '4-159']]","[[[[36, 2], [96, 2]], '8-205']]",[],U,,['SP'],5,12.5
18.04,18,"['l', 'r']","[[[[2, 2], [62, 2], [122, 2]], '2-139']]","[[[[98, 2]], '2-139']]",[],U,,['SP'],6.3,17
18.05,18,['l'],"[[[[43, 3], [103, 3], [134, 2]], '32-082']]",[],[],U,,['SP'],5.5,38
18.06,18,"['l', 'r']","[[[[6, 2], [66, 2], [126, 2]], '10-250']]","[[[[38, 2]], '2-136'], [[[44, 2]], '2-136'], [[[40, 2]], '2-136'], [[[36, 2]], '2-131'], [[[42, 2]], '2-136'], [[[34, 2]], '2-132'], [[[32, 2]], '2-132']]",[],U,,"['FA', 'SP']",4.9,171.2
18.062,18,"['r', 'l']","[[[[43, 3], [103, 3]], '34-101']]","[[[[68, 2], [128, 2]], '36-156'], [[[64, 2], [124, 2]], '38-166'], [[[72, 2], [132, 2]], '38-166'], [[[70, 2], [130, 2]], '36-156'], [[[74, 2], [134, 2]], '38-166'], [[[66, 2], [126, 2]], '36-155']]",[],U,6.042,"['FA', 'SP']",5,249.4
18.065,18,['l'],"[[[[10, 2], [70, 2], [130, 2]], '2-190']]",[],[],U,,['SP'],6.1,107.5
18.0651,18,['l'],"[[[[10, 2], [70, 2], [130, 2]], '2-190']]",[],[],G,,['SP'],6.1,107.5
18.075,18,['l'],"[[[[12, 2], [72, 2], [132, 2]], '2-132']]",[],[],U,,['SP'],5.7,16
18.0751,18,['l'],"[[[[12, 2], [72, 2], [132, 2]], '2-132']]",[],[],G,,['SP'],5.7,16
18.085,18,['l'],"[[[[36, 3], [96, 3]], '4-163']]",[],[],U,,"['FA', 'SU', 'SP']",6,58.4
18.0851,18,['l'],"[[[[36, 3], [96, 3]], '4-163']]",[],[],G,,"['FA', 'SU', 'SP']",6,58.4
18.098,18,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
18.099,18,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
18.1001,18,['l'],"[[[[40, 3], [100, 3]], '4-163']]",[],[],G,,"['FA', 'SP']",5.5,34.4
18.1002,18,['l'],"[[[[33, 3], [93, 3]], '2-190']]",[],[],G,,"['FA', 'SP']",5.4,38.8
18.100A,18,['l'],"[[[[40, 3], [100, 3]], '4-163']]",[],[],U,,"['FA', 'SP']",5.5,34.4
18.100B,18,['l'],"[[[[33, 3], [93, 3]], '2-190']]",[],[],U,,"['FA', 'SP']",5.4,38.8
18.100P,18,"['r', 'l']","[[[[12, 2], [72, 2], [132, 2]], '2-147']]","[[[[96, 2]], '2-136'], [[[102, 2]], '2-147']]",[],U,,['SP'],5.5,20.5
18.102,18,['l'],"[[[[43, 3], [103, 3]], '4-237']]",[],[],U,,['SP'],6.3,29.5
18.1021,18,['l'],"[[[[43, 3], [103, 3]], '4-237']]",[],[],G,,['SP'],6.3,29.5
18.117,18,['l'],"[[[[2, 2], [62, 2], [122, 2]], '2-142']]",[],[],G,,['SP'],0,0
18.118,18,['l'],"[[[[40, 3], [100, 3]], '2-142']]",[],[],G,,['SP'],7,14
18.152,18,['l'],"[[[[40, 3], [100, 3]], '2-131']]",[],[],U,,['SP'],5.9,17.5
18.1521,18,['l'],"[[[[40, 3], [100, 3]], '2-131']]",[],[],G,,['SP'],5.9,17.5
18.156,18,['l'],"[[[[36, 3], [96, 3]], '2-449']]",[],[],G,,['SP'],6.9,6
18.157,18,['l'],"[[[[33, 3], [93, 3]], '2-142']]",[],[],G,,['SP'],7,6
18.2,18,"['r', 'l']","[[[[4, 2], [64, 2], [124, 2]], '2-190']]","[[[[100, 2]], '2-136'], [[[94, 2]], '2-132'], [[[104, 2]], '2-136']]",[],U,,['SP'],5.2,47.5
18.204,18,['l'],"[[[[6, 3], [66, 3]], '2-151']]",[],[],U,,"['FA', 'SP']",6,29.2
18.212,18,['l'],"[[[[12, 2], [72, 2], [132, 2]], '2-131']]",[],[],U,,['SP'],6.3,27
18.218,18,['l'],"[[[[33, 3], [93, 3]], '4-237']]",[],[],G,,['SP'],6.6,33.5
18.3,18,['l'],"[[[[33, 3], [93, 3]], '2-131']]",[],[],U,,['SP'],5.5,12.5
18.306,18,['l'],"[[[[40, 3], [100, 3]], '2-139']]",[],[],G,,['SP'],5,2
18.33,18,['l'],"[[[[3, 3], [63, 3]], '2-143']]",[],[],U,,['SP'],6.7,19
18.335,18,['l'],"[[[[6, 3], [66, 3]], '4-237']]",[],[],G,6.337,['SP'],5.8,34
18.337,18,['l'],"[[[[14, 3], [74, 3]], '2-190']]",[],[],G,6.338,['SP'],5.6,26.3
18.354,18,['l'],"[[[[36, 3], [96, 3]], '2-143']]",[],[],U,"1.062, 12.207",['SP'],6.1,11.5
18.3541,18,['l'],"[[[[36, 3], [96, 3]], '2-143']]",[],[],G,,['SP'],6.1,11.5
18.377,18,['l'],"[[[[43, 3], [103, 3]], '3-333']]",[],[],G,"1.685, 2.034",['SP'],6.3,5
18.4,18,"['r', 'l']","[[[[43, 3], [103, 3]], '32-155']]","[[[[130, 2]], '4-145'], [[[126, 2]], '66-144']]",[],U,6.045,['SP'],5.8,56
18.405,18,['l'],"[[[[43, 3], [103, 3]], '4-270']]",[],[],G,6.841,['SP'],6.6,36
18.408,18,['l'],"[[[[40, 3], [100, 3]], '2-190']]",[],[],G,,['SP'],6.2,38.7
18.41,18,"['r', 'l']","[[[[36, 3], [96, 3]], '34-101']]","[[[[126, 2]], '36-112'], [[[124, 2]], '36-112'], [[[128, 2]], '26-168'], [[[132, 2]], '36-112'], [[[130, 2]], '26-168'], [[[122, 2]], '36-112'], [[[134, 2]], '36-112']]",[],U,6.046,"['FA', 'SP']",5.3,228.8
18.418,18,['l'],"[[[[7, 3], [67, 3]], '2-132']]",[],[],G,HST.504,"['FA', 'SP']",6.8,12
18.424,18,['l'],"[[[[43, 3], [103, 3]], '2-151']]",[],[],U,,['SP'],5.6,15.7
18.434,18,['l'],"[[[[36, 3], [96, 3]], '2-151']]",[],[],U,,"['FA', 'SP']",5.6,13.5
18.436,18,['l'],"[[[[3, 3], [63, 3]], '4-163']]",[],[],G,"6.443, 8.371",['SP'],6.6,18
18.6,18,"['r', 'l']","[[[[12, 2], [72, 2], [132, 2]], '10-250']]","[[[[104, 2]], '3-370'], [[[94, 2]], '4-163'], [[[106, 2]], '4-163'], [[[98, 2]], '2-190']]",[],U,,"['FA', 'SP']",6.2,164
18.615,18,['l'],"[[[[43, 3], [103, 3]], '4-163']]",[],[],G,,['SP'],6.1,56
18.65,18,"['l', 'r']","[[[[2, 2], [62, 2], [122, 2]], '34-101']]","[[[[94, 2]], '66-144'], [[[104, 2]], '56-114'], [[[106, 2]], '56-114']]",[],U,IDS.014,"['FA', 'SP']",5.6,60.4
18.6501,18,"['r', 'l']","[[[[2, 2], [62, 2], [122, 2]], '34-101']]","[[[[94, 2]], '66-144'], [[[104, 2]], '56-114'], [[[106, 2]], '56-114']]",[],G,,"['FA', 'SP']",5.6,60.4
18.655,18,['l'],"[[[[36, 3], [96, 3]], '2-132']]",[],[],G,,['SP'],5.7,12
18.656,18,['l'],"[[[[40, 3], [100, 3]], '32-124']]",[],[],G,"9.521, IDS.160",['SP'],0,0
18.676,18,['l'],"[[[[6, 3], [66, 3]], '2-139']]",[],[],G,,['SP'],0,0
18.677,18,['l'],"[[[[10, 2], [70, 2], [130, 2]], '2-135']]",[],[],G,,"['FA', 'SP']",0,0
18.702,18,['l'],"[[[[6, 2], [66, 2], [126, 2]], '2-190']]",[],[],U,,['SP'],6.5,64.5
18.703,18,['l'],"[[[[43, 3], [103, 3]], '2-135']]",[],[],U,,['SP'],5.3,8.5
18.704,18,['l'],"[[[[10, 2], [70, 2], [130, 2]], '2-151']]",[],[],U,,['SP'],5.3,12.7
18.708,18,['l'],"[[[[40, 3], [100, 3]], '2-143']]",[],[],G,,['SP'],6.8,12
18.726,18,['l'],"[[[[9, 3], [69, 3]], '2-147']]",[],[],G,,['SP'],6,8.5
18.755,18,['l'],"[[[[36, 3], [96, 3]], '2-142']]",[],[],G,,['SP'],6.8,15
18.781,18,['l'],"[[[[9, 3], [69, 3]], '4-237']]",[],[],U,,['SP'],5.7,18
18.783,18,['l'],"[[[[12, 3], [72, 3]], '4-237']]",[],[],U,,['SP'],6.5,35
18.7831,18,['l'],"[[[[12, 3], [72, 3]], '4-237']]",[],[],G,,['SP'],6.5,35
18.786,18,['l'],"[[[[6, 3], [66, 3]], '2-147']]",[],[],G,,['SP'],6.8,6.5
18.821,18,['l'],"[[[[32, 4], [92, 4]], '2-147']]",[],[],U,,"['FA', 'SP']",5.6,18
18.9,18,['l'],"[[[[2, 2], [62, 2], [122, 2]], '2-136']]",[],[],U,,['SP'],6.8,17.5
18.901,18,['l'],"[[[[43, 3], [103, 3]], '4-149']]",[],[],U,,"['FA', 'SP']",5.7,19.4
18.9011,18,['l'],"[[[[43, 3], [103, 3]], '4-149']]",[],[],G,,"['FA', 'SP']",5.7,19.4
18.904,18,['l'],"[[[[3, 3], [63, 3]], '2-151']]",[],[],U,,['SP'],5.7,9
18.906,18,['l'],"[[[[43, 3], [103, 3]], '2-139']]",[],[],G,,['SP'],6.7,6.5
18.95,18,['l'],"[[[[40, 3], [100, 3]], '4-145']]",[],[],U,,['SP'],5.8,6.5
18.9501,18,['l'],"[[[[40, 3], [100, 3]], '4-145']]",[],[],G,,['SP'],5.8,6.5
18.952,18,['l'],"[[[[6, 2], [66, 2], [126, 2]], '2-136']]",[],[],U,,['SP'],6,9.5
18.966,18,['l'],"[[[[33, 3], [93, 3]], '2-143']]",[],[],G,,['SP'],6.5,13
18.999,18,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
18.S096,18,['l'],"[[[[33, 3], [93, 3]], '2-139']]",[],[],U,,"['JA', 'SP']",6.8,4.8
18.S995,18,['l'],"[[[[43, 3], [103, 3]], '2-142']]",[],[],G,,['SP'],6.9,7
18.S996,18,['l'],"[[[[10, 3], [70, 3]], '2-146']]",[],[],G,,['SP'],6.3,8
